id,name,category,price_range,full_address,Open Time,Close Time,
1,PJ Fresh (224 Daniel Payne Drive),Burgers~ American~ Sandwiches,$,224 Daniel Payne Drive~ Birmingham~ AL~ 35207,11:00 AM,10:00 PM,
2,J' ti`'z Smoothie-N-Coffee Bar,Coffee and Tea~ Breakfast and Brunch~ Bubble Tea,,1521 Pinson Valley Parkway~ Birmingham~ AL~ 35217,7:00 AM,6:00 PM,
3,Philly Fresh Cheesesteaks (541-B Graymont Ave),American~ Cheesesteak~ Sandwiches~ Alcohol,$,541-B Graymont Ave~ Birmingham~ AL~ 35204,10:30 AM,9:00 PM,
4,Papa Murphy's (1580 Montgomery Highway),Pizza,$,1580 Montgomery Highway~ Hoover~ AL~ 35226,11:00 AM,9:00 PM,
5,Nelson Brothers Cafe (17th St N),Breakfast and Brunch~ Burgers~ Sandwiches,,314 17th St N~ Birmingham~ AL~ 35203,6:30 AM,2:30 PM,
6,Ocean Restaurant,Seafood~ Sushi~ Steak,$$,1218 20th Street South~ Birmingham~ AL~ 35205,12:00 PM,11:00 PM,
7,Jinsei Sushi,Sushi~ Asian~ Japanese,$,1830 29th Ave S~ Birmingham~ AL~ 35209,11:30 AM,10:00 PM,
8,Little India,Vegetarian~ Asian~ Asian Fusion~ Chinese~ Indian~ Healthy,$,2236 Highland Ave~ Birmingham~ AL~ 35205,11:00 AM,9:30 PM,
9,Captain D's (1284 Decatur Hwy),Seafood~ Fast Food~ Fish and Chips~ American,$,1284 Decatur Hwy~ Gardendale~ AL~ 35071,10:00 AM,9:00 PM,
10,Cajun Bistro Express,Desserts~ Vegetarian~ Coffee and Tea,$,1515 Pearson Ave SW~ Birmingham~ AL~ 35211,8:00 AM,7:00 PM,
11,The Ice Cream Shop ,Desserts~ Ice Cream + Frozen Yogurt,$,26600 Highway 31~ Jamison~ AL~ 35085,12:00 PM,8:00 PM,
12, The Ice Cream Shop,Ice Cream &amp; Frozen Yogurt~ Comfort Food~ Desserts,$,4414 4th Ave 5~ Birmingham~ AL~ 35222,11:00 AM,9:00 PM,
13,Bunrise Burgers,Burgers~ Fast Food~ American~ Comfort Food~ Diner~ Chicken,,1100 Forestdale Boulevard~ Birmingham~ AL~ 35214,11:00 AM,10:00 PM,
14,Panera (521 Fieldstown Road),Breakfast and Brunch~ salad~ Sandwich~ Family Meals~ Pizza~ Healthy~ American~ Chicken,$,521 Fieldstown Road~ Gardendale~ AL~ 35071,7:00 AM,9:00 PM,
15,The Imperial Indian,Indian~ Vegetarian~ Pakistani~ Chicken~ Indian Curry,,1024 20th Street South Unit 101~ Birmingham~ AL~ 35205,11:30 AM,9:30 PM,
